n,p,k,alpha,baseline_mean,quantum_mean,diff,quantum_better
100.0,0.1,8.0,0.0,7.0,7.0,0.0,False
100.0,0.1,10.0,0.0,10.0,10.0,0.0,False
100.0,0.1,12.0,0.0,12.0,12.0,0.0,False
100.0,0.2,8.0,0.0,6.4,6.4,0.0,False
100.0,0.2,10.0,0.0,10.0,10.0,0.0,False
100.0,0.2,12.0,0.0,12.0,12.0,0.0,False
100.0,0.3,8.0,0.0,5.6,5.6,0.0,False
100.0,0.3,10.0,0.0,9.0,9.0,0.0,False
100.0,0.3,12.0,0.0,10.8,10.8,0.0,False
150.0,0.1,10.0,0.0,8.8,8.8,0.0,False
150.0,0.1,15.0,0.0,15.0,15.0,0.0,False
150.0,0.2,10.0,0.0,8.0,8.0,0.0,False
150.0,0.2,15.0,0.0,13.2,13.2,0.0,False
150.0,0.3,10.0,0.0,7.0,7.0,0.0,False
150.0,0.3,15.0,0.0,15.0,15.0,0.0,False
200.0,0.1,12.0,0.0,12.0,12.0,0.0,False
200.0,0.1,16.0,0.0,16.0,16.0,0.0,False
200.0,0.1,20.0,0.0,20.0,20.0,0.0,False
200.0,0.2,12.0,0.0,12.0,12.0,0.0,False
200.0,0.2,16.0,0.0,16.0,16.0,0.0,False
200.0,0.2,20.0,0.0,20.0,20.0,0.0,False
100.0,0.1,8.0,0.5,7.0,7.0,0.0,False
100.0,0.1,10.0,0.5,10.0,8.6,-1.4000000000000004,False
100.0,0.1,12.0,0.5,12.0,12.0,0.0,False
100.0,0.2,8.0,0.5,6.4,5.8,-0.6000000000000005,False
100.0,0.2,10.0,0.5,10.0,10.0,0.0,False
100.0,0.2,12.0,0.5,12.0,10.4,-1.5999999999999996,False
100.0,0.3,8.0,0.5,5.6,5.4,-0.1999999999999993,False
100.0,0.3,10.0,0.5,9.0,8.6,-0.40000000000000036,False
100.0,0.3,12.0,0.5,10.8,9.2,-1.6000000000000014,False
150.0,0.1,10.0,0.5,8.8,8.8,0.0,False
150.0,0.1,15.0,0.5,15.0,15.0,0.0,False
150.0,0.2,10.0,0.5,8.0,7.8,-0.20000000000000018,False
150.0,0.2,15.0,0.5,13.2,13.0,-0.1999999999999993,False
150.0,0.3,10.0,0.5,7.0,6.0,-1.0,False
150.0,0.3,15.0,0.5,15.0,9.6,-5.4,False
200.0,0.1,12.0,0.5,12.0,12.0,0.0,False
200.0,0.1,16.0,0.5,16.0,16.0,0.0,False
200.0,0.1,20.0,0.5,20.0,20.0,0.0,False
200.0,0.2,12.0,0.5,12.0,10.8,-1.1999999999999993,False
200.0,0.2,16.0,0.5,16.0,16.0,0.0,False
200.0,0.2,20.0,0.5,20.0,17.4,-2.6000000000000014,False
100.0,0.1,8.0,1.0,7.0,4.8,-2.2,False
100.0,0.1,10.0,1.0,10.0,4.2,-5.8,False
100.0,0.1,12.0,1.0,12.0,8.4,-3.5999999999999996,False
100.0,0.2,8.0,1.0,6.4,4.6,-1.8000000000000007,False
100.0,0.2,10.0,1.0,10.0,6.2,-3.8,False
100.0,0.2,12.0,1.0,12.0,8.8,-3.1999999999999993,False
100.0,0.3,8.0,1.0,5.6,5.0,-0.5999999999999996,False
100.0,0.3,10.0,1.0,9.0,7.0,-2.0,False
100.0,0.3,12.0,1.0,10.8,7.0,-3.8000000000000007,False
150.0,0.1,10.0,1.0,8.8,5.8,-3.000000000000001,False
150.0,0.1,15.0,1.0,15.0,8.2,-6.800000000000001,False
150.0,0.2,10.0,1.0,8.0,6.6,-1.4000000000000004,False
150.0,0.2,15.0,1.0,13.2,4.0,-9.2,False
150.0,0.3,10.0,1.0,7.0,4.6,-2.4000000000000004,False
150.0,0.3,15.0,1.0,15.0,7.4,-7.6,False
200.0,0.1,12.0,1.0,12.0,7.0,-5.0,False
200.0,0.1,16.0,1.0,16.0,6.4,-9.6,False
200.0,0.1,20.0,1.0,20.0,16.8,-3.1999999999999993,False
200.0,0.2,12.0,1.0,12.0,6.2,-5.8,False
200.0,0.2,16.0,1.0,16.0,9.2,-6.800000000000001,False
200.0,0.2,20.0,1.0,20.0,4.0,-16.0,False
